a1,a2,a3,a4,a5,a6,a7,d
(1.51762; 1.52203],(13.405000000000001; 13.995000000000001],(3.585; inf),(-inf; 1.39],(-inf; 72.485],(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51654; 1.51762],(13.405000000000001; 13.995000000000001],(3.585; inf),(-inf; 1.39],(72.485; 72.755],(-inf; inf),(-inf; 8.42],1.0
(1.515935; 1.51654],(13.405000000000001; 13.995000000000001],(3.4050000000000002; 3.585],(1.39; inf),(72.755; inf),(-inf; inf),(-inf; 8.42],1.0
(1.51762; 1.52203],(-inf; 13.405000000000001],(3.585; inf),(-inf; 1.39],(72.485; 72.755],(-inf; inf),(-inf; 8.42],1.0
(1.51654; 1.51762],(-inf; 13.405000000000001],(3.585; inf),(-inf; 1.39],(72.755; inf),(-inf; inf),(-inf; 8.42],1.0
(1.515935; 1.51654],(-inf; 13.405000000000001],(3.585; inf),(1.39; inf),(72.755; inf),(-inf; inf),(-inf; 8.42],1.0
(1.51654; 1.51762],(-inf; 13.405000000000001],(3.585; inf),(-inf; 1.39],(72.755; inf),(-inf; inf),(-inf; 8.42],1.0
(1.51654; 1.51762],(-inf; 13.405000000000001],(3.585; inf),(-inf; 1.39],(72.755; inf),(-inf; inf),(-inf; 8.42],1.0
(1.51762; 1.52203],(13.995000000000001; 14.18],(3.4050000000000002; 3.585],(-inf; 1.39],(-inf; 72.485],(-inf; inf),(-inf; 8.42],1.0
(1.51654; 1.51762],(-inf; 13.405000000000001],(3.585; inf),(-inf; 1.39],(72.755; inf),(-inf; inf),(-inf; 8.42],1.0
(1.51762; 1.52203],(-inf; 13.405000000000001],(3.585; inf),(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51654; 1.51762],(-inf; 13.405000000000001],(3.4050000000000002; 3.585],(-inf; 1.39],(72.755; inf),(-inf; inf),(-inf; 8.42],1.0
(1.51762; 1.52203],(-inf; 13.405000000000001],(3.585; inf),(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51654; 1.51762],(-inf; 13.405000000000001],(3.4050000000000002; 3.585],(-inf; 1.39],(72.755; inf),(-inf; inf),(-inf; 8.42],1.0
(1.51762; 1.52203],(-inf; 13.405000000000001],(3.585; inf),(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51762; 1.52203],(14.18; inf),(3.585; inf),(-inf; 1.39],(-inf; 72.485],(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51762; 1.52203],(13.405000000000001; 13.995000000000001],(3.585; inf),(-inf; 1.39],(-inf; 72.485],(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51654; 1.51762],(-inf; 13.405000000000001],(3.4050000000000002; 3.585],(1.39; inf),(72.485; 72.755],(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51654; 1.51762],(-inf; 13.405000000000001],(3.4050000000000002; 3.585],(1.39; inf),(72.485; 72.755],(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51762; 1.52203],(14.18; inf),(3.585; inf),(-inf; 1.39],(-inf; 72.485],(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51654; 1.51762],(-inf; 13.405000000000001],(3.585; inf),(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51654; 1.51762],(-inf; 13.405000000000001],(3.4050000000000002; 3.585],(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51654; 1.51762],(-inf; 13.405000000000001],(3.4050000000000002; 3.585],(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51762; 1.52203],(-inf; 13.405000000000001],(3.4050000000000002; 3.585],(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51762; 1.52203],(-inf; 13.405000000000001],(3.4050000000000002; 3.585],(1.39; inf),(72.485; 72.755],(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51654; 1.51762],(-inf; 13.405000000000001],(3.4050000000000002; 3.585],(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51762; 1.52203],(-inf; 13.405000000000001],(3.4050000000000002; 3.585],(1.39; inf),(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51762; 1.52203],(-inf; 13.405000000000001],(3.4050000000000002; 3.585],(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51762; 1.52203],(-inf; 13.405000000000001],(3.4050000000000002; 3.585],(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51654; 1.51762],(-inf; 13.405000000000001],(3.4050000000000002; 3.585],(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51762; 1.52203],(-inf; 13.405000000000001],(3.4050000000000002; 3.585],(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51654; 1.51762],(-inf; 13.405000000000001],(3.4050000000000002; 3.585],(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51762; 1.52203],(-inf; 13.405000000000001],(3.4050000000000002; 3.585],(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51762; 1.52203],(13.405000000000001; 13.995000000000001],(3.4050000000000002; 3.585],(-inf; 1.39],(-inf; 72.485],(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51762; 1.52203],(-inf; 13.405000000000001],(3.4050000000000002; 3.585],(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.52203; inf),(14.18; inf),(3.585; inf),(-inf; 1.39],(-inf; 72.485],(-inf; inf),(9.405000000000001; inf),1.0
(1.52203; inf),(14.18; inf),(3.585; inf),(-inf; 1.39],(-inf; 72.485],(-inf; inf),(9.405000000000001; inf),2.0
(1.51762; 1.52203],(-inf; 13.405000000000001],(3.4050000000000002; 3.585],(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51654; 1.51762],(-inf; 13.405000000000001],(3.4050000000000002; 3.585],(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51762; 1.52203],(-inf; 13.405000000000001],(0.165; 3.4050000000000002],(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.52203; inf),(13.405000000000001; 13.995000000000001],(3.585; inf),(-inf; 1.39],(-inf; 72.485],(-inf; inf),(9.405000000000001; inf),1.0
(1.51762; 1.52203],(-inf; 13.405000000000001],(3.4050000000000002; 3.585],(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51762; 1.52203],(13.405000000000001; 13.995000000000001],(3.4050000000000002; 3.585],(-inf; 1.39],(-inf; 72.485],(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51762; 1.52203],(-inf; 13.405000000000001],(0.165; 3.4050000000000002],(-inf; 1.39],(72.485; 72.755],(-inf; inf),(8.42; 9.405000000000001],1.0
(1.52203; inf),(13.405000000000001; 13.995000000000001],(3.585; inf),(-inf; 1.39],(-inf; 72.485],(-inf; inf),(9.405000000000001; inf),1.0
(1.51762; 1.52203],(13.405000000000001; 13.995000000000001],(0.165; 3.4050000000000002],(-inf; 1.39],(-inf; 72.485],(-inf; inf),(8.42; 9.405000000000001],1.0
(1.52203; inf),(13.405000000000001; 13.995000000000001],(3.585; inf),(-inf; 1.39],(-inf; 72.485],(-inf; inf),(9.405000000000001; inf),1.0
(1.51762; 1.52203],(-inf; 13.405000000000001],(0.165; 3.4050000000000002],(-inf; 1.39],(-inf; 72.485],(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51762; 1.52203],(13.405000000000001; 13.995000000000001],(0.165; 3.4050000000000002],(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51762; 1.52203],(-inf; 13.405000000000001],(0.165; 3.4050000000000002],(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51762; 1.52203],(-inf; 13.405000000000001],(0.165; 3.4050000000000002],(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51762; 1.52203],(-inf; 13.405000000000001],(0.165; 3.4050000000000002],(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(-inf; 1.515935],(-inf; 13.405000000000001],(3.4050000000000002; 3.585],(-inf; 1.39],(72.755; inf),(-inf; inf),(-inf; 8.42],1.0
(1.51762; 1.52203],(-inf; 13.405000000000001],(3.4050000000000002; 3.585],(-inf; 1.39],(72.755; inf),(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51654; 1.51762],(13.405000000000001; 13.995000000000001],(3.585; inf),(-inf; 1.39],(72.755; inf),(-inf; inf),(-inf; 8.42],1.0
(1.51654; 1.51762],(-inf; 13.405000000000001],(3.585; inf),(-inf; 1.39],(72.755; inf),(-inf; inf),(-inf; 8.42],1.0
(1.51762; 1.52203],(13.405000000000001; 13.995000000000001],(3.585; inf),(-inf; 1.39],(72.485; 72.755],(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51762; 1.52203],(13.405000000000001; 13.995000000000001],(3.4050000000000002; 3.585],(-inf; 1.39],(-inf; 72.485],(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51762; 1.52203],(13.405000000000001; 13.995000000000001],(3.585; inf),(-inf; 1.39],(-inf; 72.485],(-inf; inf),(9.405000000000001; inf),1.0
(1.52203; inf),(13.995000000000001; 14.18],(3.585; inf),(-inf; 1.39],(-inf; 72.485],(-inf; inf),(9.405000000000001; inf),1.0
(1.51762; 1.52203],(13.405000000000001; 13.995000000000001],(3.585; inf),(-inf; 1.39],(-inf; 72.485],(-inf; inf),(9.405000000000001; inf),1.0
(1.51762; 1.52203],(13.405000000000001; 13.995000000000001],(3.585; inf),(-inf; 1.39],(-inf; 72.485],(-inf; inf),(8.42; 9.405000000000001],1.0
(1.51762; 1.52203],(-inf; 13.405000000000001],(3.585; inf),(-inf; 1.39],(-inf; 72.485],(-inf; inf),(9.405000000000001; inf),1.0
