a1,a2,a3,a4,a5,a6,a7,a8,d
(-inf; 4.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(-inf; 2.5],(1.5; 5.5],(-inf; 1.5],2
(-inf; 4.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(-inf; 2.5],(-inf; 1.5],(-inf; 1.5],2
(-inf; 4.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(-inf; 2.5],(-inf; 1.5],(-inf; 1.5],2
(-inf; 4.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(-inf; 2.5],(-inf; 1.5],(-inf; 1.5],2
(-inf; 4.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(2.5; 4.5],(-inf; 1.5],(-inf; 1.5],2
(-inf; 4.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(2.5; 4.5],(-inf; 1.5],(-inf; 1.5],2
(-inf; 4.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(2.5; 4.5],(-inf; 1.5],(-inf; 1.5],2
(-inf; 4.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(2.5; 4.5],(-inf; 1.5],(-inf; 1.5],2
(-inf; 4.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(2.5; 4.5],(-inf; 1.5],(-inf; 1.5],2
(-inf; 4.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(2.5; 4.5],(-inf; 1.5],(-inf; 1.5],2
(-inf; 4.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(1.5; 4.5],(-inf; 2.5],(-inf; 1.5],(-inf; 1.5],2
(-inf; 4.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(1.5; 4.5],(-inf; 2.5],(-inf; 1.5],(-inf; 1.5],2
(-inf; 4.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(1.5; 4.5],(-inf; 2.5],(-inf; 1.5],(-inf; 1.5],2
(-inf; 4.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(1.5; 4.5],(-inf; 2.5],(-inf; 1.5],(-inf; 1.5],2
(-inf; 4.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(1.5; 4.5],(-inf; 2.5],(-inf; 1.5],(-inf; 1.5],2
(-inf; 4.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(1.5; 4.5],(-inf; 2.5],(-inf; 1.5],(-inf; 1.5],2
(-inf; 4.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(1.5; 4.5],(-inf; 2.5],(-inf; 1.5],(-inf; 1.5],2
(-inf; 4.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(1.5; 4.5],(-inf; 2.5],(-inf; 1.5],(-inf; 1.5],2
(-inf; 4.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(1.5; 4.5],(-inf; 2.5],(-inf; 1.5],(-inf; 1.5],2
(-inf; 4.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(1.5; 4.5],(-inf; 2.5],(-inf; 1.5],(-inf; 1.5],2
(-inf; 4.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(1.5; 4.5],(-inf; 2.5],(-inf; 1.5],(-inf; 1.5],2
(-inf; 4.5],(-inf; 1.5],(-inf; 1.5],(-inf; 1.5],(1.5; 4.5],(-inf; 2.5],(-inf; 1.5],(-inf; 1.5],2
